t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
9791,8573,1,9004,9526,5481,9519,9033,1,2
9791,8576,1,9024,9529,5503,9519,9033,1,2
9791,8579,1,9045,9534,5534,9520,9033,1,2
9791,8580,1,9068,9537,5558,9522,9033,1,2
9791,8580,1,9088,9542,5580,9524,9033,1,2
9791,8589,1,9106,9544,5600,9525,9033,1,2
9792,8590,1,9137,9546,5616,9532,9033,1,2
9792,8592,1,9149,9548,5641,9533,9033,1,2
9792,8595,1,9172,9551,5660,9533,9033,1,2
9792,8595,1,9190,9552,5689,9534,9033,1,2
9792,8597,1,9204,9556,5705,9535,9033,1,2
9792,8597,1,9217,9558,5721,9536,9033,1,2
9792,8597,1,9229,9563,5740,9536,9033,1,2
9792,8600,1,9241,9564,5755,9537,9033,1,2
9792,8600,1,9256,9566,5768,9537,9033,1,2
9792,8600,1,9271,9569,5777,9540,9033,1,2
9792,8601,1,9288,9570,5792,9541,9033,1,2
9792,8604,1,9297,9572,5813,9541,9033,1,2
9792,8604,1,9313,9573,5824,9541,9033,1,2
9792,8604,1,9320,9576,5836,9543,9033,1,2
9792,8604,1,9324,9576,5845,9545,9033,1,2
9792,8605,1,9335,9579,5860,9546,9033,1,2
9792,8605,1,9342,9580,5868,9546,9033,1,2
9792,8606,1,9345,9581,5878,9546,9033,1,2
9792,8606,1,9358,9582,5888,9548,9033,1,2
9792,8606,1,9371,9583,5898,9548,9033,1,2
9792,8607,1,9377,9587,5909,9549,9033,1,2
9792,8607,1,9384,9588,5919,9549,9033,1,2
9792,8607,1,9398,9588,5932,9549,9033,1,2
9792,8607,1,9407,9588,5936,9550,9033,1,2
9792,8607,1,9415,9590,5945,9550,9033,1,2
9792,8607,1,9424,9590,5954,9551,9033,1,2
9792,8607,1,9430,9591,5960,9551,9033,1,2
9792,8607,1,9439,9592,5967,9553,9033,1,2
9792,8607,1,9445,9593,5976,9553,9033,1,2
9792,8607,1,9450,9593,5985,9553,9033,1,2
9792,8607,1,9456,9594,5991,9553,9033,1,2
9792,8607,1,9462,9595,6002,9553,9033,1,2
9792,8607,1,9465,9595,6010,9553,9033,1,2
9792,8607,1,9471,9597,6015,9553,9033,1,2
9792,8609,1,9476,9597,6023,9554,9033,1,2
9792,8609,1,9480,9597,6028,9554,9033,1,2
9792,8609,1,9483,9597,6041,9555,9033,1,2
9792,8609,1,9487,9597,6043,9555,9033,1,2
9792,8609,1,9491,9597,6057,9555,9033,1,2
9792,8609,1,9494,9597,6062,9556,9033,1,2
9792,8609,1,9500,9597,6064,9556,9033,1,2
9792,8609,1,9503,9597,6068,9556,9033,1,2
9792,8609,1,9505,9597,6072,9556,9033,1,2
9792,8609,1,9509,9598,6079,9556,9033,1,2
9792,8609,1,9512,9598,6085,9556,9033,1,2
9792,8609,1,9516,9598,6088,9556,9033,1,2
9792,8609,1,9517,9598,6093,9556,9033,1,2
