t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
163,996,0,2773,2238,426,1475,429,0,0
154,971,0,2828,2177,449,1413,412,0,0
146,928,0,2885,2125,462,1340,387,0,0
136,889,0,2927,2052,487,1274,363,0,0
130,869,0,2947,1965,502,1224,335,0,0
114,843,0,2985,1903,531,1164,317,0,0
106,817,0,3024,1812,543,1103,304,0,0
99,780,0,3051,1743,559,1056,279,0,0
98,754,0,3016,1668,572,1003,257,0,0
94,732,0,3037,1591,588,960,228,0,0
84,709,0,3009,1506,597,924,208,0,0
79,670,0,3028,1436,596,878,190,0,0
73,661,0,3016,1381,615,830,177,0,0
69,647,0,3041,1328,631,804,163,0,0
65,616,0,3047,1286,646,768,146,0,0
62,598,0,3073,1227,637,723,133,0,0
56,578,0,3032,1161,632,688,126,0,0
51,546,0,3017,1122,657,654,119,0,0
48,525,0,2986,1069,631,627,106,0,0
42,497,0,2913,1016,633,595,99,0,0
38,486,0,2848,964,623,565,95,0,0
33,460,0,2801,915,623,540,88,0,0
30,432,0,2738,871,611,513,86,0,0
28,413,0,2685,828,619,490,79,0,0
27,393,0,2625,786,615,457,68,0,0
25,378,0,2583,744,620,436,66,0,0
23,369,0,2555,716,631,412,63,0,0
20,329,0,2502,679,651,390,58,0,0
18,314,0,2453,643,633,368,53,0,0
16,292,0,2392,612,612,352,53,0,0
14,281,0,2310,581,604,330,53,0,0
13,257,0,2230,544,596,308,47,0,0
12,244,0,2145,513,595,295,42,0,0
12,231,0,2069,494,573,278,40,0,0
11,216,0,1993,477,545,267,35,0,0
10,209,0,1939,459,534,253,34,0,0
10,207,0,1886,436,538,238,32,0,0
10,191,0,1842,404,543,225,31,0,0
9,178,0,1791,377,533,220,27,0,0
8,174,0,1725,362,503,207,26,0,0
9,163,0,1670,347,490,199,23,0,0
8,147,0,1617,330,471,193,20,0,0
7,131,0,1554,316,473,182,18,0,0
7,121,0,1479,300,444,168,16,0,0
7,109,0,1435,284,422,154,15,0,0
5,105,0,1377,270,406,145,11,0,0
5,104,0,1327,264,393,136,10,0,0
5,96,0,1267,250,370,126,9,0,0
4,91,0,1221,237,365,122,6,0,0
4,87,0,1166,227,366,115,8,0,0
4,90,0,1104,206,357,108,7,0,0
3,82,0,1053,199,351,102,6,0,0
3,77,0,1022,183,343,99,7,0,0
3,80,0,987,182,337,96,7,0,0
3,73,0,948,169,320,88,5,0,0
2,72,0,915,159,317,82,5,0,0
2,66,0,889,151,307,81,5,0,0
2,63,0,838,146,315,76,5,0,0
2,59,0,797,130,291,73,5,0,0
2,52,0,762,122,277,70,3,0,0
2,48,0,721,114,266,68,3,0,0
1,49,0,705,108,255,66,3,0,0
1,48,0,670,104,245,65,1,0,0
1,48,0,643,98,240,64,1,0,0
1,45,0,610,92,226,58,1,0,0
1,43,0,592,88,228,55,1,0,0
1,42,0,567,86,220,50,1,0,0
1,38,0,553,75,207,46,0,0,0
1,36,0,528,72,205,43,0,0,0
1,32,0,509,70,191,40,0,0,0
1,28,0,480,65,191,38,0,0,0
1,25,0,463,62,187,38,0,0,0
1,23,0,444,58,169,37,0,0,0
1,25,0,429,55,159,35,0,0,0
1,25,0,415,52,156,33,0,0,0
1,16,0,402,51,160,32,0,0,0
0,15,0,374,49,160,25,0,0,0
0,13,0,365,47,152,24,0,0,0
0,10,0,347,45,150,24,0,0,0
0,10,0,330,44,138,23,0,0,0
0,8,0,316,42,129,22,0,0,0
0,9,0,305,40,127,21,0,0,0
0,9,0,295,35,120,21,0,0,0
0,7,0,284,35,110,20,0,0,0
0,7,0,271,33,112,20,0,0,0
0,8,0,258,31,109,17,0,0,0
0,7,0,242,31,107,17,0,0,0
0,4,0,233,29,94,17,0,0,0
0,4,0,220,28,94,17,0,0,0
0,4,0,213,25,97,15,0,0,0
0,4,0,213,25,92,13,0,0,0
0,3,0,202,22,87,12,0,0,0
0,3,0,197,21,89,12,0,0,0
0,2,0,194,20,87,12,0,0,0
0,2,0,186,19,84,10,0,0,0
0,2,0,173,18,80,10,0,0,0
0,1,0,167,14,78,9,0,0,0
0,1,0,160,13,79,9,0,0,0
0,1,0,150,13,76,9,0,0,0
0,1,0,142,14,83,8,0,0,0
0,1,0,136,12,82,8,0,0,0
0,1,0,127,12,77,7,0,0,0
0,1,0,121,11,81,7,0,0,0
